hidden_layers,activation,learning_rate,batch_size,best_val_mse,best_epoch,epochs,final_train_mse
"(64,)",Tanh,0.001,32,1.0236034393310547,862,882,0.9241230487823486
"(64,)",Tanh,0.01,32,1.0236111879348755,86,106,0.9177257418632507
"(64, 64)",Tanh,0.001,16,1.0245195627212524,487,507,0.9504190385341644
"(128,)",Tanh,0.01,8,1.0246156454086304,9,29,1.0882441401481628
"(32, 32)",Tanh,0.01,32,1.024789810180664,369,389,0.902305543422699
"(64, 64)",Tanh,0.001,32,1.0248442888259888,1000,1000,0.9497198462486267
"(32, 32)",Tanh,0.01,16,1.0249329805374146,100,120,0.9472061991691589
"(128,)",Tanh,0.001,16,1.0252872705459595,120,140,0.9480123817920685
"(64,)",Tanh,0.001,16,1.0255134105682373,170,190,0.9540404677391052
"(64,)",Tanh,0.001,8,1.0265265703201294,54,74,0.9306989759206772
"(64, 64)",Tanh,0.001,8,1.0275875329971313,134,154,0.9490841925144196
"(32, 32)",Tanh,0.001,16,1.0291372537612915,684,704,0.9272344708442688
"(32, 32)",Tanh,0.001,8,1.0312092304229736,252,272,0.9307489693164825
"(32, 32)",Tanh,0.001,32,1.0312345027923584,1000,1000,0.952128529548645
"(32, 32)",ReLU,0.001,8,1.054936408996582,10,30,1.0143996626138687
